well_head_depth_pressure =  175.96349999999998
The string 'wbhp' is found as control!
# 49 	T = 12.7674	DT = 2.94633	NI = 3	LI=17	DT_MULT=1.3	dX=[0.083 0.009 0.168]
Walltime = 10.26766300201416 Simulated time = 12.76738264049046
# 50 	T = 16.5976	DT = 3.83022	NI = 3	LI=18	DT_MULT=1.3	dX=[0.074 0.012 0.226]
Walltime = 10.642443895339966 Simulated time = 16.5976074326376
# 51 	T = 21.5769	DT = 4.97929	NI = 3	LI=18	DT_MULT=1.3	dX=[0.129 0.016 0.321]
Walltime = 11.11261773109436 Simulated time = 21.57689966242888
# 52 	T = 28.05	DT = 6.47308	NI = 3	LI=18	DT_MULT=1.3	dX=[0.191 0.02  0.468]
Walltime = 11.684388399124146 Simulated time = 28.049979561157542
# 53 	T = 36.465	DT = 8.415	NI = 3	LI=19	DT_MULT=1.3	dX=[0.224 0.024 0.68 ]
Walltime = 12.289206504821777 Simulated time = 36.464983429504805
# 54 	T = 46.465	DT = 10	NI = 3	LI=19	DT_MULT=1.3	dX=[0.209 0.026 0.898]
Walltime = 12.977894306182861 Simulated time = 46.464983429504805
# 55 	T = 56.465	DT = 10	NI = 4	LI=25	DT_MULT=1.3	dX=[0.78  0.023 0.928]
Walltime = 13.88000750541687 Simulated time = 56.464983429504805
# 56 	T = 66.465	DT = 10	NI = 3	LI=18	DT_MULT=1.3	dX=[0.773 0.02  0.845]
Walltime = 14.737133741378784 Simulated time = 66.4649834295048
# 57 	T = 76.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.188 0.018 0.831]
Walltime = 15.565876722335815 Simulated time = 76.4649834295048
# 58 	T = 86.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.094 0.017 0.827]
Walltime = 16.394967794418335 Simulated time = 86.4649834295048
# 59 	T = 96.465	DT = 10	NI = 3	LI=17	DT_MULT=1.3	dX=[0.051 0.017 0.828]
Walltime = 17.255809545516968 Simulated time = 96.4649834295048
# 60 	T = 106.465	DT = 10	NI = 2	LI=12	DT_MULT=1.3	dX=[0.07  0.016 0.835]
Walltime = 18.09188675880432 Simulated time = 106.4649834295048
